不明	Outrealmer
デフォルト名	Corrin
ギュンター	Gunter
フェリシア	Felicia
ジョーカー	Jakob
リンカ	Rinkah
スズカゼ	Kaze
サクラ	Sakura
アクア	Azura
カザハナ	Hana
ツバキ	Subaki
サイラス	Silas
サイゾウ	Saizo
オロチ	Orochi
ヒノカ	Hinoka
アサマ	Azama
セツナ	Setsuna
ツクヨミ	Hayato
オボロ	Oboro
ヒナタ	Hinata
タクミ	Takumi
カゲロウ	Kagero
ユウギリ	Reina
ニシキ	Kaden
リョウマ	Ryoma
クリムゾン	Scarlet
アシュラ	Shura
エリーゼ	Elise
ハロルド	Arthur
エルフィ	Effie
オーディン	Odin
ゼロ	Niles
ニュクス	Nyx
カミラ	Camilla
ルーナ	Selena
ベルカ	Beruka
ラズワルド	Laslow
ピエリ	Peri
ブノワ	Benny
シャーロッテ	Charlotte
レオン	Leo
フランネル	Keaton
マークス	Xander
イザナ	Izana
ドラジェ	Candace
ユキムラ	Yukimura
フローラ	Flora
ナハト	Nichol
モズメ	Mozu
カンナ女	Kana
カンナ男	Kana
シグレ	Shigure
ディーア	Dwyer
ゾフィー	Sophie
ミドリコ	Midori
シノノメ	Shiro
キサラギ	Kiragi
グレイ	Asugi
キヌ	Selkie
ヒサメ	Hisame
ミタマ	Mitama
マトイ	Caeldori
シャラ	Rhajat
ジークベルト	Siegbert
フォレオ	Forrest
イグニス	Ignatius
ベロア	Velouria
べロア	Velouria
ルッツ	Percy
オフェリア	Ophelia
ソレイユ	Soleil
エポニーヌ	Nina
アンナ	Anna
フウガ	Fuga
ガンズ	Hans
マクベス	Iago
ガロン	Garon
コタロウ	Kotaro
ゾーラ	Zola
スメラギ	Sumeragi
シェンメイ	Arete
ミコト	Mikoto
ハイドラ	Anankos
モズ	Omozu
ダニエラ	Daniela
ハイタカ	Haitaka
クマゲラ	Kumagera
ウィリアム	Lloyd
ホルモン	Llewelyn
ガザック	Gazak
バンバ	Tarba
ファンク	Funke
ダイチ	Daichi
セノウ	Senno
ヴァスハラ	Zhara
クーリア	Kilma
写し身	Replica
CASTLE_白村人男	Shopkeep
CASTLE_白村人女	Shopkeep
CASTLE_黒村人男	Shopkeep
CASTLE_黒村人女	Shopkeep
その他	Other
白夜兵	Hoshidan
暗夜兵	Nohrian
透魔兵	Vallite
フウマ兵	Mokushujin
イズモ兵	Izumite
シュヴァリエ兵	Chevois
反乱兵	Resistance
幻影兵	Illusion
部族兵	Tribalist
異邦の兵	Foreigner
謎の兵	Invader
賊	Ruffian
村人	Villager
魔物	Monster
傭兵団	Mercenary
花売り	Flower Girl
絆_白白_01	Gin
絆_白白_02	Azuki
絆_白白_03	Hakuto
絆_白白_04	Kureha
絆_白白_05	Sango
絆_白白_06	Himawari
絆_白白_07	Kogane
絆_白白_08	Ai
絆_白白_09	Tetsu
絆_白白_10	Tokiwa
絆_白白_11	Suzaku
絆_白白_12	Chigusa
絆_白白_13	Renga
絆_白白_14	Moegi
絆_白白_15	Kohaku
絆_白白_16	Murasaki
絆_白白_17	Momotaro
絆_白白_18	Sumire
絆_黒黒_01	Rusty
絆_黒黒_02	Amber
絆_黒黒_03	Auburn
絆_黒黒_04	Coral
絆_黒黒_05	Hunter
絆_黒黒_06	Hazel
絆_黒黒_07	Cyan
絆_黒黒_08	Fuchsia
絆_黒黒_09	Jett
絆_黒黒_10	Olive
絆_黒黒_11	Slate
絆_黒黒_12	Violet
絆_黒黒_13	Sterling
絆_黒黒_14	Ruby
絆_黒黒_15	Tanner
絆_黒黒_16	Kelly
絆_黒黒_17	Teale
絆_黒黒_18	Magenta
絆_白黒_01	Naoki
絆_白黒_02	Shizuku
絆_白黒_03	Kaito
絆_白黒_04	Wakaba
絆_白黒_05	Yukio
絆_白黒_06	Ibuki
絆_白黒_07	Riku
絆_白黒_08	Hibari
絆_白黒_09	Minato
絆_白黒_10	Aspen
絆_白黒_11	Cypress
絆_白黒_12	Daisy
絆_白黒_13	Thorn
絆_白黒_14	Primrose
絆_白黒_15	Quill
絆_白黒_16	Willow
絆_白黒_17	Flint
絆_白黒_18	Sequoia
絆_白透_01	Shoga
絆_白透_02	Anzu
絆_白透_03	Inaho
絆_白透_04	Yuzu
絆_白透_05	Mugi
絆_白透_06	Umeko
絆_白透_07	Nori
絆_白透_08	Kurumi
絆_白透_09	Naruto
絆_白透_10	Ringo
絆_白透_11	Shoya
絆_白透_12	Kiku
絆_白透_13	Katsuo
絆_白透_14	Ayu
絆_白透_15	Takeshi
絆_白透_16	Mizuna
絆_白透_17	Koumei
絆_白透_18	Shiori
絆_黒透_01	Sorrel
絆_黒透_02	Rosemary
絆_黒透_03	Bay
絆_黒透_04	Anise
絆_黒透_05	Saffron
絆_黒透_06	Pepper
絆_黒透_07	Basil
絆_黒透_08	Ginger
絆_黒透_09	Clove
絆_黒透_10	Mint
絆_黒透_11	Caraway
絆_黒透_12	Thyme
絆_黒透_13	Sage
絆_黒透_14	Cassia
絆_黒透_15	Dillan
絆_黒透_16	Lavender
絆_黒透_17	Fenn
絆_黒透_18	Perilla
絆_透透_01	Dimitri
絆_透透_02	Alexa
絆_透透_03	Galen
絆_透透_04	Althaea
絆_透透_05	Damien
絆_透透_06	Jacynth
絆_透透_07	Orion
絆_透透_08	Sophia
絆_透透_09	George
絆_透透_10	Eva
絆_透透_11	Theo
絆_透透_12	Helene
絆_透透_13	Spiro
絆_透透_14	Odele
絆_透透_15	Peter
絆_透透_16	Rhoda
絆_透透_17	Lukas
絆_透透_18	Charis
リリス	Lilith
リリス竜	Lilith
ゴーレムＡ	Golem A
ゴーレムＢ	Golem B
ゴーレムＣ	Golem C
絡繰人形・甲	Puppet A
絡繰人形・乙	Puppet B
絡繰人形・丙	Puppet C
闘技者	Opponent
ララ	Layla
ロンタオ	Anthony
村人おじいさん白	Old Man
村人おばさん白	Old Woman
村人お姉さん白	Girl
村人お兄さん白	Boy
村人子供白	Child
村人おじいさん黒	Old Man
村人おばさん黒	Old Woman
村人お姉さん黒	Girl
村人お兄さん黒	Boy
村人子供黒	Child
ノスフェラトゥ	Faceless
ゴーレム	Stoneborn
妖狐	Kitsune
ガルー	Wolfskin
忍	Ninja
虹の賢者	Rainbow Sage
カシータ	Cassita
フードマン	Hooded Anankos
マルス	Marth
アイク	Ike
ルキナ	Lucina
ルフレ	Robin
？？？	???
クロム	Chrom
クロム右	Chrom
クロム左	Chrom
リズ	Lissa
フレデリク	Frederick
金ノスフェラトゥ	Gold Faceless
ウード	Owain
アズール	Inigo
セレナ	Severa
影リリス	Lilith
善ハイドラ	Anankos
