Anna	BF5854
Aqua	BAE1E1
Asama	785F60
Asura	EEE8DF
Belka	A2C0C8
Benoit	F2E3B5
Camilla	BFB7DF
Casita	C9C3BF
Charlotte	EBD9A6
Clear	B3C1CD
Crimson	EFE0B8
Cyrus	AAB4B4
Dia	D2D2C3
Draj	7E815D
Elfie	DCD9D3
Elise	F2E4D1
Eponine	F5F3F0
Felicia	E6C8B4
Flannel	F5F3F0
Flora	C0E0E7
Foleo	F2E3B5
Fuuga	603020
Ganz	484060
Garon	FEF9EE
Grey	E47859
Gunther	C8BCC8
Harold	FEEAB7
Hinata	6F554B
Hinoka	B42D2D
Hisame	6F554B
Ignis	D2C3AA
Izana	F7F5EF
Joker	D2D2C3
Kagerou	4B3935
Kamui	808080
Kanna	EBE2D6
Kazahana	A58D7B
Kinu	D39146
Kisaragi	C1B2AC
Kotarou	7C7858
Lala	CEAED1
Lazwald	999191
Leon	D2C3AA
Lilith	68A2D2
Lucina	4C587B
Luna	AF5454
Lutz	FEEAB7
Macbeth	342F2E
Marx	D0C29F
Matoi	CC7373
Midoriko	7D9682
Mikoto	333130
Mitama	785F60
Mozume	463E39
Nacht	4F5349
Nishiki	D39146
Nyx	6A6170
Oboro	64708C
Odin	DAD3BD
Ophelia	DAD3BD
Orochi	8C7B8C
Pieri	87BFD8
Rainbow Sage	DADADA
Rinka	F5EDDC
Robin	BEBEBE
Ryouma	58332D
Saizou	914343
Sakura	CF786E
Setsuna	648A91
Shara	484848
Shenmei	BAE1E1
Shigure	BAE1E1
Shinonome	58332D
Siegbert	D0C29F
Soleil	EBCDD6
Sophie	AAB5B5
Sumeragi	FEF9EE
Suzukaze	7D9682
Takumi	C1B2AC
Tsubaki	8A4144
Tsukuyomi	8B5A5C
Velour	F5F3F0
Yukimura	6E868E
Yuugiri	5B7396
Zero	F5F3F0
Zoura	C8B994
